x	y	likelihood_ewpt.yaml	global
-2.08	-2.08	-62754.694272984714	-62754.694272984714
-2.08	-1.9951020408163267	-60368.47626025012	-60368.47626025012
-2.08	-1.910204081632653	-58027.38840012409	-58027.38840012409
-2.08	-1.8253061224489797	-55731.5034125709	-55731.5034125709
-2.08	-1.7404081632653061	-53480.893956652944	-53480.893956652944
-2.08	-1.6555102040816327	-51275.63262977067	-51275.63262977067
-2.08	-1.5706122448979594	-49115.791966901765	-49115.791966901765
-2.08	-1.4857142857142858	-47001.44443984073	-47001.44443984073
-2.08	-1.4008163265306122	-44932.66245643233	-44932.66245643233
-2.08	-1.3159183673469388	-42909.51835980792	-42909.51835980792
-2.08	-1.2310204081632654	-40932.08442761391	-40932.08442761391
-2.08	-1.1461224489795918	-39000.432871248624	-39000.432871248624
-2.08	-1.0612244897959184	-37114.63583508822	-37114.63583508822
-2.08	-0.9763265306122448	-35274.76539571282	-35274.76539571282
-2.08	-0.8914285714285715	-33480.8935611379	-33480.8935611379
-2.08	-0.8065306122448979	-31733.092270033165	-31733.092270033165
-2.08	-0.7216326530612245	-30031.433390949147	-30031.433390949147
-2.08	-0.6367346938775511	-28375.98872153704	-28375.98872153704
-2.08	-0.5518367346938775	-26766.82998776773	-26766.82998776773
-2.08	-0.46693877551020413	-25204.028843153337	-25204.028843153337
-2.08	-0.38204081632653053	-23687.656867960042	-23687.656867960042
-2.08	-0.29714285714285715	-22217.785568423653	-22217.785568423653
-2.08	-0.21224489795918355	-20794.4863759664	-20794.4863759664
-2.08	-0.12734693877551018	-19417.830646403545	-19417.830646403545
-2.08	-0.0424489795918368	-18087.889659158922	-18087.889659158922
-2.08	0.0424489795918368	-16804.734616470545	-16804.734616470545
-2.08	0.1273469387755104	-15568.436642598796	-15568.436642598796
-2.08	0.21224489795918355	-14379.066783032657	-14379.066783032657
-2.08	0.29714285714285715	-13236.696003692328	-13236.696003692328
-2.08	0.38204081632653075	-12141.395190134186	-12141.395190134186
-2.08	0.46693877551020435	-11093.235146749586	-11093.235146749586
-2.08	0.5518367346938775	-10092.286595967615	-10092.286595967615
-2.08	0.6367346938775511	-9138.620177449342	-9138.620177449342
-2.08	0.7216326530612247	-8232.306447287792	-8232.306447287792
-2.08	0.8065306122448979	-7373.415877201721	-7373.415877201721
-2.08	0.8914285714285715	-6562.018853729129	-6562.018853729129
-2.08	0.9763265306122451	-5798.185677420303	-5798.185677420303
-2.08	1.0612244897959187	-5081.986562027954	-5081.986562027954
-2.08	1.1461224489795918	-4413.491633696611	-4413.491633696611
-2.08	1.2310204081632654	-3792.770930150616	-3792.770930150616
-2.08	1.315918367346939	-3219.8943998805357	-3219.8943998805357
-2.08	1.4008163265306122	-2694.93190132811	-2694.93190132811
-2.08	1.4857142857142858	-2217.9532020695538	-2217.9532020695538
-2.08	1.5706122448979594	-1789.02797799776	-1789.02797799776
-2.08	1.655510204081633	-1408.2258125031697	-1408.2258125031697
-2.08	1.7404081632653061	-1075.616195652951	-1075.616195652951
-2.08	1.8253061224489797	-791.2685233683483	-791.2685233683483
-2.08	1.9102040816326533	-555.2520966020312	-555.2520966020312
-2.08	1.9951020408163265	-367.6361205123911	-367.6361205123911
-2.08	2.08	-228.4897036376177	-228.4897036376177
-1.9951020408163267	-2.08	-60119.999258987475	-60119.999258987475
-1.9951020408163267	-1.9951020408163267	-57783.41107748288	-57783.41107748288
-1.9951020408163267	-1.910204081632653	-55492.03732035239	-55492.03732035239
-1.9951020408163267	-1.8253061224489797	-53245.95064761218	-53245.95064761218
-1.9951020408163267	-1.7404081632653061	-51045.22365752054	-51045.22365752054
-1.9951020408163267	-1.6555102040816327	-48889.92888581033	-48889.92888581033
-1.9951020408163267	-1.5706122448979594	-46780.138804930044	-46780.138804930044
-1.9951020408163267	-1.4857142857142858	-44715.92582327602	-44715.92582327602
-1.9951020408163267	-1.4008163265306122	-42697.362284428316	-42697.362284428316
-1.9951020408163267	-1.3159183673469388	-40724.52046638588	-40724.52046638588
-1.9951020408163267	-1.2310204081632654	-38797.47258079034	-38797.47258079034
-1.9951020408163267	-1.1461224489795918	-36916.29077216127	-36916.29077216127
-1.9951020408163267	-1.0612244897959184	-35081.04711711977	-35081.04711711977
-1.9951020408163267	-0.9763265306122448	-33291.81362361792	-33291.81362361792
-1.9951020408163267	-0.8914285714285715	-31548.66223015725	-31548.66223015725
-1.9951020408163267	-0.8065306122448979	-29851.664805017892	-29851.664805017892
-1.9951020408163267	-0.7216326530612245	-28200.893145474478	-28200.893145474478
-1.9951020408163267	-0.6367346938775511	-26596.418977019082	-26596.418977019082
-1.9951020408163267	-0.5518367346938775	-25038.31395257667	-25038.31395257667
-1.9951020408163267	-0.46693877551020413	-23526.649651722957	-23526.649651722957
-1.9951020408163267	-0.38204081632653053	-22061.49757989703	-22061.49757989703
