x	y	fast_likelihood_quarks.yaml	custom_beta	global
-2.08	-2.08	-1085.6612676447862	-607.9011227610052	-1085.6612676447862
-2.08	-1.9951020408163267	-1001.388771056858	-560.6320935820007	-1001.388771056858
-2.08	-1.910204081632653	-920.9328798611385	-515.2293451082477	-920.9328798611385
-2.08	-1.8253061224489797	-844.2998532607261	-471.6987752806257	-844.2998532607261
-2.08	-1.7404081632653061	-771.4380213190476	-430.0462991298831	-771.4380213190476
-2.08	-1.6555102040816327	-702.2948001063681	-390.27784882905496	-702.2948001063681
-2.08	-1.5706122448979594	-636.82141985696	-352.3993737456809	-636.82141985696
-2.08	-1.4857142857142858	-574.962976660846	-316.4168404943729	-574.962976660846
-2.08	-1.4008163265306122	-516.6728936639298	-282.33623298946657	-516.6728936639298
-2.08	-1.3159183673469388	-461.9028535935796	-250.16355249810738	-461.9028535935796
-2.08	-1.2310204081632654	-410.6068645598208	-219.90481769301402	-410.6068645598208
-2.08	-1.1461224489795918	-362.73765204740664	-191.56606470579766	-362.73765204740664
-2.08	-1.0612244897959184	-318.25865424822484	-165.1533471804671	-318.25865424822484
-2.08	-0.9763265306122448	-277.6415434376993	-140.6727363269141	-277.6415434376993
-2.08	-0.8914285714285715	-239.795659983792	-118.13032097465805	-239.795659983792
-2.08	-0.8065306122448979	-205.20393417290234	-97.53220762683134	-205.20393417290234
-2.08	-0.7216326530612245	-173.82808606370241	-78.88452051425156	-173.82808606370241
-2.08	-0.6367346938775511	-145.6238970478247	-62.19340164977689	-145.6238970478247
-2.08	-0.5518367346938775	-120.55712524328499	-47.46501088266689	-120.55712524328499
-2.08	-0.46693877551020413	-98.56830232895715	-34.70552595333879	-98.56830232895715
-2.08	-0.38204081632653053	-79.66512902079864	-23.921142548184548	-79.66512902079864
-2.08	-0.29714285714285715	-63.75381381684895	-15.118074354545797	-63.75381381684895
-2.08	-0.21224489795918355	-50.88319599518695	-8.302553115945216	-50.88319599518695
-2.08	-0.12734693877551018	-41.07851256405155	-3.4808286874773557	-41.07851256405155
-2.08	-0.0424489795918368	-34.07112666094531	-0.6591690913693355	-34.07112666094531
-2.08	0.0424489795918368	-29.89469009323841	0.15613942727804897	-29.89469009323841
-2.08	0.1273469387755104	-28.17423930087938	-1.0412076554687246	-28.17423930087938
-2.08	0.21224489795918355	-29.892942727060074	-4.257533198489682	-29.892942727060074
-2.08	0.29714285714285715	-34.31296975545865	-9.499178451931016	-34.31296975545865
-2.08	0.38204081632653075	-41.5263176033003	-16.772503113709945	-41.5263176033003
-2.08	0.46693877551020435	-51.42371300701001	-26.083885386182715	-51.42371300701001
-2.08	0.5518367346938775	-64.1647551402574	-37.43972203302974	-64.1647551402574
-2.08	0.6367346938775511	-79.63552760129573	-50.84642843634299	-79.63552760129573
-2.08	0.7216326530612247	-97.82242318590204	-66.31043865386687	-97.82242318590204
-2.08	0.8065306122448979	-118.71315336512555	-83.83820547646087	-118.71315336512555
-2.08	0.8914285714285715	-142.3000971577568	-103.43620048571051	-142.3000971577568
