x	y	fast_likelihood_quarks.yaml	fast_likelihood_leptons.yaml	likelihood_ewpt.yaml	likelihood_eeww.yaml	likelihood_lept.yaml	likelihood_rd_rds.yaml	likelihood_lfu_fccc.yaml	likelihood_lfu_fcnc.yaml	likelihood_bcpv.yaml	likelihood_bqnunu.yaml	likelihood_lfv.yaml	likelihood_zlfv.yaml	likelihood_higgs.yaml	global
-1.04	-2.08	-4.28893046171072	-23.82742087329467	-132.1793557578644	-0.11831712184872245	-0.00306786079446586	6.810964912531897	-13.427852686146288	-14.346348487885248	0.0032411017240194795	-0.2233756738466397	0.0	0.0	0.24559468946918628	-181.35486821966606
-1.04	-1.9951020408163267	-4.342662534046326	-21.86988198294194	-129.86016763594466	-0.11831704525421571	-0.0030678588300390164	6.77044595506845	-13.425482522031103	-14.34199634573352	0.0030026839658034987	-0.2237347079337546	0.0	0.0	0.24559451121410092	-177.1662674824672
-1.04	-1.910204081632653	-4.397849199828499	-19.994419699462156	-127.59119872405935	-0.11831696866083874	-0.003067856865613394	6.655321300661949	-13.423143284229347	-14.33763875783211	0.0027623731851482702	-0.22409172559697765	0.0	0.0	0.2455943329591257	-173.1860482097287
-1.04	-1.8253061224489797	-4.454504066093705	-18.201120721976444	-125.37251703826453	-0.1183168920685489	-0.0030678549011888823	6.466580214175721	-13.420834698353474	-14.333275483712821	0.002520147596248634	-0.2244467401806851	0.0	0.0	0.2455941547042535	-169.4133889790752
-1.04	-1.7404081632653061	-4.512640577210277	-16.49007177899591	-123.20419055840219	-0.11831681547735684	-0.0030678529367657026	6.205207664157355	-13.418556491219839	-14.328906229088552	0.0022759851042266632	-0.2247996005621271	0.0	0.0	0.24559397644948433	-165.84747227818195
-1.04	-1.6555102040816327	-4.572272033206389	-14.861359628408763	-121.08628722798264	-0.11831673888727323	-0.0030678509723445213	5.872184110057088	-13.416308390844648	-14.324530742217451	0.0020298633003656974	-0.22515032304042748	0.0	0.0	0.24559379819482174	-162.48748516400767
-1.04	-1.5706122448979594	-4.633411546747766	-13.315071057469893	-119.01887495410722	-0.11831666229828386	-0.003067849007923562	5.468485890133428	-13.414090126439064	-14.320148726590801	0.0017817594573008577	-0.22549888096557247	0.0	0.0	0.24559361994025153	-159.33261853409553
-1.04	-1.4857142857142858	-4.6960720417463335	-11.851292882794077	-117.00202160736853	-0.11831658571040293	-0.003067847043504157	4.995084133872364	-13.4119014284162	-14.315759804321942	0.0015316505241207423	-0.22584523520109911	0.0	0.0	0.24559344168578434	-156.38206820651982
-1.04	-1.4008163265306122	-4.760266225876762	-10.470111950343536	-115.03579502177277	-0.11831650912360914	-0.0030678450790857514	4.452947548436679	-13.409742028386056	-14.311363859044384	0.0012795131214584643	-0.22618934574456517	0.0	0.0	0.2455932634314273	-153.63503246038115
-1.04	-1.3159183673469388	-4.826006569986475	-9.171615135420026	-113.12026299462644	-0.11831643253793445	-0.003067843114669566	3.843038310784575	-13.407611659157872	-14.306960524055608	0.0010253235364885427	-0.22653125029899002	0.0	0.0	0.24559308517717326	-151.09071568969978
